2025-08-24 13:42:55,450 [INFO] ▶ timesheet_summary started
2025-08-24 13:42:55,452 [INFO] Log file: C:\Users\palyi\OneDrive\Desktop\bullshitBundle\fater_szarja\logs\timesheet_summary_januar_20250824_134255.log
2025-08-24 13:42:55,452 [INFO] 🔧 Feldolgozás: TS GP.xlsx
2025-08-24 13:42:55,800 [INFO]   ➔ Sheet: januar
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 65. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 66. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 67. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 68. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 69. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 70. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 71. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 72. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 73. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 74. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 75. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 76. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 77. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 78. sorában, kihagyva
2025-08-24 13:42:55,822 [INFO]     ➔ Hiányzó adat a januar sheet 79. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 80. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 81. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 82. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 83. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 84. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 85. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 86. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 87. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 88. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 89. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 90. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 91. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 92. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 93. sorában, kihagyva
2025-08-24 13:42:55,823 [INFO]     ➔ Hiányzó adat a januar sheet 94. sorában, kihagyva
2025-08-24 13:42:55,824 [INFO]     ➔ Hiányzó adat a januar sheet 95. sorában, kihagyva
2025-08-24 13:42:55,824 [INFO]     ➔ Hiányzó adat a januar sheet 96. sorában, kihagyva
2025-08-24 13:42:55,824 [INFO]     ➔ Hiányzó adat a januar sheet 97. sorában, kihagyva
2025-08-24 13:42:55,824 [INFO]     ➔ Hiányzó adat a januar sheet 98. sorában, kihagyva
2025-08-24 13:42:55,824 [INFO]     ➔ Hiányzó adat a januar sheet 99. sorában, kihagyva
2025-08-24 13:42:55,824 [INFO]     ➔ Hiányzó adat a januar sheet 100. sorában, kihagyva
2025-08-24 13:42:55,841 [INFO]     ➔ Hiányzó adat a januar sheet 101. sorában, kihagyva
2025-08-24 13:42:55,841 [INFO]     ➔ Hiányzó adat a januar sheet 102. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 103. sorában, kihagyva
2025-08-24 13:42:55,842 [INFO]     ➔ Hiányzó adat a januar sheet 104. sorában, kihagyva
